ind,year,month,sst,logmld,sss,pCO2_clim,final_miniindex,xlon,ylat,geometry,
5209,1998,1,-0.469999989,2.421833721,34.3626709,255.6675,5,168.5,-75.5,c(168.5, -75.5)
5210,1998,1,-0.249999994,2.49358346,34.36179924,255.6675,5,169.5,-75.5,c(169.5, -75.5)
5211,1998,1,-0.069999998,2.555827588,34.32236481,255.6675,5,170.5,-75.5,c(170.5, -75.5)
5212,1998,1,0.01,2.418656112,34.26266289,255.6675,5,171.5,-75.5,c(171.5, -75.5)
5213,1998,1,-0.209999995,2.131382772,34.20345116,255.6675,5,172.5,-75.5,c(172.5, -75.5)
5214,1998,1,-0.239999995,1.934459696,34.13903618,256.69475,5,173.5,-75.5,c(173.5, -75.5)
5215,1998,1,-0.259999994,1.882666983,34.11578941,257.722,5,174.5,-75.5,c(174.5, -75.5)
5216,1998,1,-0.319999993,1.833840952,34.1573143,258.74925,5,175.5,-75.5,c(175.5, -75.5)
5217,1998,1,-0.329999993,1.813319905,34.14681435,259.7765,5,176.5,-75.5,c(176.5, -75.5)
5218,1998,1,-0.389999991,1.79936479,34.11873817,260.80375,5,177.5,-75.5,c(177.5, -75.5)
5219,1998,1,-0.44999999,1.806463149,34.12109947,265.14625,5,178.5,-75.5,c(178.5, -75.5)
5220,1998,1,-0.489999989,1.825817926,34.09802246,269.48875,5,179.5,-75.5,c(179.5, -75.5)
5221,1998,1,-0.43999999,1.848924231,34.08643532,273.83125,5,180.5,-75.5,c(180.5, -75.5)
5222,1998,1,-0.469999989,1.876828976,34.04713249,278.17375,5,181.5,-75.5,c(181.5, -75.5)
5223,1998,1,-0.529999988,1.906005525,34.04051208,282.51625,5,182.5,-75.5,c(182.5, -75.5)
5224,1998,1,-0.589999987,1.916011177,34.0385952,283.1215,5,183.5,-75.5,c(183.5, -75.5)
5225,1998,1,-0.659999985,1.941014081,34.03379822,283.72675,5,184.5,-75.5,c(184.5, -75.5)
5226,1998,1,-0.729999984,1.937461688,34.03792,284.332,5,185.5,-75.5,c(185.5, -75.5)
5227,1998,1,-0.789999982,1.939917896,34.03883171,284.93725,5,186.5,-75.5,c(186.5, -75.5)
5228,1998,1,-0.87999998,1.964118852,34.01606178,285.5425,5,187.5,-75.5,c(187.5, -75.5)
5229,1998,1,-1.049999977,1.98255411,33.99490166,286.16225,5,188.5,-75.5,c(188.5, -75.5)
5230,1998,1,-1.149999974,1.980510489,33.99055672,286.782,5,189.5,-75.5,c(189.5, -75.5)
5231,1998,1,-1.209999973,1.968001132,33.98751831,287.40175,5,190.5,-75.5,c(190.5, -75.5)
5232,1998,1,-1.289999971,2.020689567,33.97726059,288.0215,5,191.5,-75.5,c(191.5, -75.5)
5233,1998,1,-1.499999966,2.028497574,33.974226,288.64125,5,192.5,-75.5,c(192.5, -75.5)
5234,1998,1,-1.579999965,2.020430676,33.97405434,296.14475,9,193.5,-75.5,c(193.5, -75.5)
5235,1998,1,-1.609999964,2.02584574,33.96403503,303.64825,9,194.5,-75.5,c(194.5, -75.5)
5236,1998,1,-1.629999964,2.058261523,33.94008255,311.15175,9,195.5,-75.5,c(195.5, -75.5)
5237,1998,1,-1.729999961,2.024369729,33.91773987,318.65525,6,196.5,-75.5,c(196.5, -75.5)
5238,1998,1,-1.739999961,2.044754584,33.90756035,326.15875,6,197.5,-75.5,c(197.5, -75.5)
5239,1998,1,-1.739999961,2.077933807,33.91031265,324.21275,6,198.5,-75.5,c(198.5, -75.5)
5240,1998,1,-1.719999962,2.073522392,33.9158783,322.26675,6,199.5,-75.5,c(199.5, -75.5)
5241,1998,1,-1.699999962,2.069283491,33.9224472,320.32075,6,200.5,-75.5,c(200.5, -75.5)
5242,1998,1,-1.699999962,2.04837124,33.92848396,318.37475,6,201.5,-75.5,c(201.5, -75.5)
5243,1998,1,-1.719999962,2.005076735,33.91927528,316.42875,9,202.5,-75.5,c(202.5, -75.5)
5244,1998,1,-1.729999961,1.971789526,33.91434288,326.18125,6,203.5,-75.5,c(203.5, -75.5)
5245,1998,1,-1.709999962,1.940608794,33.91536522,335.93375,6,204.5,-75.5,c(204.5, -75.5)
5246,1998,1,-1.699999962,1.928957691,33.91228294,345.68625,4,205.5,-75.5,c(205.5, -75.5)
5247,1998,1,-1.699999962,1.949277521,33.90781593,355.43875,10,206.5,-75.5,c(206.5, -75.5)
5248,1998,1,-1.689999962,1.964150068,33.90489578,365.19125,10,207.5,-75.5,c(207.5, -75.5)
5249,1998,1,-1.629999964,1.947380195,33.90470886,364.6648485,10,208.5,-75.5,c(208.5, -75.5)
5250,1998,1,-1.649999963,1.897027128,33.90355873,363.855,10,209.5,-75.5,c(209.5, -75.5)
5251,1998,1,-1.649999963,1.945058665,33.9059639,362.4484211,10,210.5,-75.5,c(210.5, -75.5)
5252,1998,1,-1.639999963,1.882161618,33.9169426,359.4008333,10,211.5,-75.5,c(211.5, -75.5)
5253,1998,1,-1.569999965,1.978927886,33.92912102,347.82,4,212.5,-75.5,c(212.5, -75.5)
5254,1998,1,-1.579999965,1.826344222,33.93901253,349.112,4,213.5,-75.5,c(213.5, -75.5)
5255,1998,1,-1.579999965,1.942167404,33.94248962,350.404,10,214.5,-75.5,c(214.5, -75.5)
5256,1998,1,-1.569999965,2.019403509,33.94026756,351.696,10,215.5,-75.5,c(215.5, -75.5)
5257,1998,1,-1.499999966,2.272547928,33.94148064,352.988,10,216.5,-75.5,c(216.5, -75.5)
5258,1998,1,-1.479999967,1.828733766,33.94779205,354.28,10,217.5,-75.5,c(217.5, -75.5)
5259,1998,1,-1.469999967,1.974193348,33.93860435,356.448,10,218.5,-75.5,c(218.5, -75.5)
5260,1998,1,-1.399999969,2.802596872,33.93546677,358.616,10,219.5,-75.5,c(219.5, -75.5)
5344,1998,1,0.709999984,2.771390259,34.18603706,339.98,4,303.5,-75.5,c(303.5, -75.5)
5345,1998,1,0.88999998,2.668611867,34.16928482,339.98,4,304.5,-75.5,c(304.5, -75.5)
5346,1998,1,0.829999981,2.500592804,34.14545631,339.98,4,305.5,-75.5,c(305.5, -75.5)
5347,1998,1,0.769999983,2.354268029,34.13437653,339.98,4,306.5,-75.5,c(306.5, -75.5)
5348,1998,1,0.699999984,2.345604599,34.12853813,339.98,4,307.5,-75.5,c(307.5, -75.5)
5349,1998,1,0.719999984,2.248879415,34.13195801,354.7291667,10,308.5,-75.5,c(308.5, -75.5)
5350,1998,1,0.639999986,2.134446621,34.13549423,358.6105263,10,309.5,-75.5,c(309.5, -75.5)
5351,1998,1,0.569999987,2.067982143,34.1374588,360.4019231,10,310.5,-75.5,c(310.5, -75.5)
